c3,Region
ABW,Latin America & Caribbean
AFG,South Asia
AGO,Sub-Saharan Africa
ALB,Europe & Central Asia
AND,Europe & Central Asia
ARE,Middle East & North Africa
ARG,Latin America & Caribbean
ARM,Europe & Central Asia
ASM,East Asia & Pacific
ATG,Latin America & Caribbean
AUS,East Asia & Pacific
AUT,Europe & Central Asia
AZE,Europe & Central Asia
BDI,Sub-Saharan Africa
BEL,Europe & Central Asia
BEN,Sub-Saharan Africa
BFA,Sub-Saharan Africa
BGD,South Asia
BGR,Europe & Central Asia
BHR,Middle East & North Africa
BHS,Latin America & Caribbean
BIH,Europe & Central Asia
BLR,Europe & Central Asia
BLZ,Latin America & Caribbean
BMU,North America
BOL,Latin America & Caribbean
BRA,Latin America & Caribbean
BRB,Latin America & Caribbean
BRN,East Asia & Pacific
BTN,South Asia
BWA,Sub-Saharan Africa
CAF,Sub-Saharan Africa
CAN,North America
CHE,Europe & Central Asia
CHI,Europe & Central Asia
CHL,Latin America & Caribbean
CHN,East Asia & Pacific
CIV,Sub-Saharan Africa
CMR,Sub-Saharan Africa
COD,Sub-Saharan Africa
COG,Sub-Saharan Africa
COL,Latin America & Caribbean
COM,Sub-Saharan Africa
CPV,Sub-Saharan Africa
CRI,Latin America & Caribbean
CUB,Latin America & Caribbean
CUW,Latin America & Caribbean
CYM,Latin America & Caribbean
CYP,Europe & Central Asia
CZE,Europe & Central Asia
DEU,Europe & Central Asia
DJI,Middle East & North Africa
DMA,Latin America & Caribbean
DNK,Europe & Central Asia
DOM,Latin America & Caribbean
DZA,Middle East & North Africa
ECU,Latin America & Caribbean
EGY,Middle East & North Africa
ERI,Sub-Saharan Africa
ESP,Europe & Central Asia
EST,Europe & Central Asia
ETH,Sub-Saharan Africa
FIN,Europe & Central Asia
FJI,East Asia & Pacific
FRA,Europe & Central Asia
FRO,Europe & Central Asia
FSM,East Asia & Pacific
GAB,Sub-Saharan Africa
GBR,Europe & Central Asia
GEO,Europe & Central Asia
GHA,Sub-Saharan Africa
GIB,Europe & Central Asia
GIN,Sub-Saharan Africa
GMB,Sub-Saharan Africa
GNB,Sub-Saharan Africa
GNQ,Sub-Saharan Africa
GRC,Europe & Central Asia
GRD,Latin America & Caribbean
GRL,Europe & Central Asia
GTM,Latin America & Caribbean
GUM,East Asia & Pacific
GUY,Latin America & Caribbean
HKG,East Asia & Pacific
HND,Latin America & Caribbean
HRV,Europe & Central Asia
HTI,Latin America & Caribbean
HUN,Europe & Central Asia
IDN,East Asia & Pacific
IMN,Europe & Central Asia
IND,South Asia
IRL,Europe & Central Asia
IRN,Middle East & North Africa
IRQ,Middle East & North Africa
ISL,Europe & Central Asia
ISR,Middle East & North Africa
ITA,Europe & Central Asia
JAM,Latin America & Caribbean
JOR,Middle East & North Africa
JPN,East Asia & Pacific
KAZ,Europe & Central Asia
KEN,Sub-Saharan Africa
KGZ,Europe & Central Asia
KHM,East Asia & Pacific
KIR,East Asia & Pacific
KNA,Latin America & Caribbean
KOR,East Asia & Pacific
KWT,Middle East & North Africa
LAO,East Asia & Pacific
LBN,Middle East & North Africa
LBR,Sub-Saharan Africa
LBY,Middle East & North Africa
LCA,Latin America & Caribbean
LIE,Europe & Central Asia
LKA,South Asia
LSO,Sub-Saharan Africa
LTU,Europe & Central Asia
LUX,Europe & Central Asia
LVA,Europe & Central Asia
MAC,East Asia & Pacific
MAF,Latin America & Caribbean
MAR,Middle East & North Africa
MCO,Europe & Central Asia
MDA,Europe & Central Asia
MDG,Sub-Saharan Africa
MDV,South Asia
MEX,Latin America & Caribbean
MHL,East Asia & Pacific
MKD,Europe & Central Asia
MLI,Sub-Saharan Africa
MLT,Middle East & North Africa
MMR,East Asia & Pacific
MNE,Europe & Central Asia
MNG,East Asia & Pacific
MNP,East Asia & Pacific
MOZ,Sub-Saharan Africa
MRT,Sub-Saharan Africa
MUS,Sub-Saharan Africa
MWI,Sub-Saharan Africa
MYS,East Asia & Pacific
NAM,Sub-Saharan Africa
NCL,East Asia & Pacific
NER,Sub-Saharan Africa
NGA,Sub-Saharan Africa
NIC,Latin America & Caribbean
NLD,Europe & Central Asia
NOR,Europe & Central Asia
NPL,South Asia
NRU,East Asia & Pacific
NZL,East Asia & Pacific
OMN,Middle East & North Africa
PAK,South Asia
PAN,Latin America & Caribbean
PER,Latin America & Caribbean
PHL,East Asia & Pacific
PLW,East Asia & Pacific
PNG,East Asia & Pacific
POL,Europe & Central Asia
PRI,Latin America & Caribbean
PRK,East Asia & Pacific
PRT,Europe & Central Asia
PRY,Latin America & Caribbean
PSE,Middle East & North Africa
PYF,East Asia & Pacific
QAT,Middle East & North Africa
ROU,Europe & Central Asia
RUS,Europe & Central Asia
RWA,Sub-Saharan Africa
SAU,Middle East & North Africa
SDN,Sub-Saharan Africa
SEN,Sub-Saharan Africa
SGP,East Asia & Pacific
SLB,East Asia & Pacific
SLE,Sub-Saharan Africa
SLV,Latin America & Caribbean
SMR,Europe & Central Asia
SOM,Sub-Saharan Africa
SRB,Europe & Central Asia
SSD,Sub-Saharan Africa
STP,Sub-Saharan Africa
SUR,Latin America & Caribbean
SVK,Europe & Central Asia
SVN,Europe & Central Asia
SWE,Europe & Central Asia
SWZ,Sub-Saharan Africa
SXM,Latin America & Caribbean
SYC,Sub-Saharan Africa
SYR,Middle East & North Africa
TCA,Latin America & Caribbean
TCD,Sub-Saharan Africa
TGO,Sub-Saharan Africa
THA,East Asia & Pacific
TJK,Europe & Central Asia
TKM,Europe & Central Asia
TLS,East Asia & Pacific
TON,East Asia & Pacific
TTO,Latin America & Caribbean
TUN,Middle East & North Africa
TUR,Europe & Central Asia
TUV,East Asia & Pacific
TWN,East Asia & Pacific
TZA,Sub-Saharan Africa
UGA,Sub-Saharan Africa
UKR,Europe & Central Asia
URY,Latin America & Caribbean
USA,North America
UZB,Europe & Central Asia
VCT,Latin America & Caribbean
VEN,Latin America & Caribbean
VGB,Latin America & Caribbean
VIR,Latin America & Caribbean
VNM,East Asia & Pacific
VUT,East Asia & Pacific
WSM,East Asia & Pacific
XKX,Europe & Central Asia
YEM,Middle East & North Africa
ZAF,Sub-Saharan Africa
ZMB,Sub-Saharan Africa
ZWE,Sub-Saharan Africa
,
ARB,
CSS,
CEB,
EAR,
EAS,
EAP,
TEA,
EMU,
ECS,
ECA,
TEC,
EUU,
FCS,
HPC,
HIC,
IBD,
IBT,
IDB,
IDX,
IDA,
LTE,
LCN,
LAC,
TLA,
LDC,
LMY,
LIC,
LMC,
MEA,
MNA,
TMN,
MIC,
NAC,
OED,
OSS,
PSS,
PST,
PRE,
SST,
SAS,
TSA,
SSF,
SSA,
TSS,
UMC,
WLD,
,
GroupName,CountryCode
Africa Eastern and Southern,AGO
Africa Eastern and Southern,BWA
Africa Eastern and Southern,BDI
Africa Eastern and Southern,COM
Africa Eastern and Southern,COD
Africa Eastern and Southern,ERI
Africa Eastern and Southern,SWZ
Africa Eastern and Southern,ETH
Africa Eastern and Southern,KEN
Africa Eastern and Southern,LSO
Africa Eastern and Southern,MDG
Africa Eastern and Southern,MWI
Africa Eastern and Southern,MUS
Africa Eastern and Southern,MOZ
Africa Eastern and Southern,NAM
Africa Eastern and Southern,RWA
Africa Eastern and Southern,STP
Africa Eastern and Southern,SYC
Africa Eastern and Southern,SOM
Africa Eastern and Southern,ZAF
Africa Eastern and Southern,SSD
Africa Eastern and Southern,SDN
Africa Eastern and Southern,TZA
Africa Eastern and Southern,UGA
Africa Eastern and Southern,ZMB
Africa Eastern and Southern,ZWE
Africa Western and Central,BEN
Africa Western and Central,BFA
Africa Western and Central,CPV
Africa Western and Central,CMR
Africa Western and Central,CAF
Africa Western and Central,TCD
Africa Western and Central,COG
Africa Western and Central,CIV
Africa Western and Central,GNQ
Africa Western and Central,GAB
Africa Western and Central,GMB
Africa Western and Central,GHA
Africa Western and Central,GIN
Africa Western and Central,GNB
Africa Western and Central,LBR
Africa Western and Central,MLI
Africa Western and Central,MRT
Africa Western and Central,NER
Africa Western and Central,NGA
Africa Western and Central,SEN
Africa Western and Central,SLE
Africa Western and Central,TGO
Arab World,DZA
Arab World,BHR
Arab World,COM
Arab World,DJI
Arab World,EGY
Arab World,IRQ
Arab World,JOR
Arab World,KWT
Arab World,LBN
Arab World,LBY
Arab World,MRT
Arab World,MAR
Arab World,OMN
Arab World,QAT
Arab World,SAU
Arab World,SOM
Arab World,SDN
Arab World,SYR
Arab World,TUN
Arab World,ARE
Arab World,PSE
Arab World,YEM
Central Europe and the Baltics,BGR
Central Europe and the Baltics,HRV
Central Europe and the Baltics,CZE
Central Europe and the Baltics,EST
Central Europe and the Baltics,HUN
Central Europe and the Baltics,LVA
Central Europe and the Baltics,LTU
Central Europe and the Baltics,POL
Central Europe and the Baltics,ROU
Central Europe and the Baltics,SVK
Central Europe and the Baltics,SVN
Caribbean small states,ATG
Caribbean small states,BHS
Caribbean small states,BRB
Caribbean small states,BLZ
Caribbean small states,DMA
Caribbean small states,GRD
Caribbean small states,GUY
Caribbean small states,JAM
Caribbean small states,KNA
Caribbean small states,LCA
Caribbean small states,VCT
Caribbean small states,SUR
Caribbean small states,TTO
East Asia & Pacific (excluding high income),ASM
East Asia & Pacific (excluding high income),KHM
East Asia & Pacific (excluding high income),CHN
East Asia & Pacific (excluding high income),FJI
East Asia & Pacific (excluding high income),IDN
East Asia & Pacific (excluding high income),KIR
East Asia & Pacific (excluding high income),PRK
East Asia & Pacific (excluding high income),LAO
East Asia & Pacific (excluding high income),MYS
East Asia & Pacific (excluding high income),MHL
East Asia & Pacific (excluding high income),FSM
East Asia & Pacific (excluding high income),MNG
East Asia & Pacific (excluding high income),MMR
East Asia & Pacific (excluding high income),PLW
East Asia & Pacific (excluding high income),PNG
East Asia & Pacific (excluding high income),PHL
East Asia & Pacific (excluding high income),WSM
East Asia & Pacific (excluding high income),SLB
East Asia & Pacific (excluding high income),THA
East Asia & Pacific (excluding high income),TLS
East Asia & Pacific (excluding high income),TON
East Asia & Pacific (excluding high income),TUV
East Asia & Pacific (excluding high income),VUT
East Asia & Pacific (excluding high income),VNM
Early-demographic dividend,DZA
Early-demographic dividend,ARG
Early-demographic dividend,BHR
Early-demographic dividend,BGD
Early-demographic dividend,BLZ
Early-demographic dividend,BTN
Early-demographic dividend,BOL
Early-demographic dividend,BWA
Early-demographic dividend,CPV
Early-demographic dividend,KHM
Early-demographic dividend,DJI
Early-demographic dividend,DOM
Early-demographic dividend,ECU
Early-demographic dividend,EGY
Early-demographic dividend,SLV
Early-demographic dividend,SWZ
Early-demographic dividend,ETH
Early-demographic dividend,GAB
Early-demographic dividend,GHA
Early-demographic dividend,GRD
Early-demographic dividend,GTM
Early-demographic dividend,HTI
Early-demographic dividend,HND
Early-demographic dividend,IND
Early-demographic dividend,IDN
Early-demographic dividend,IRN
Early-demographic dividend,ISR
Early-demographic dividend,JOR
Early-demographic dividend,KIR
Early-demographic dividend,LAO
Early-demographic dividend,LSO
Early-demographic dividend,LBY
Early-demographic dividend,MDV
Early-demographic dividend,MEX
Early-demographic dividend,FSM
Early-demographic dividend,MMR
Early-demographic dividend,NAM
Early-demographic dividend,NPL
Early-demographic dividend,NIC
Early-demographic dividend,PAK
Early-demographic dividend,PAN
Early-demographic dividend,PNG
Early-demographic dividend,PRY
Early-demographic dividend,PER
Early-demographic dividend,PHL
Early-demographic dividend,RWA
Early-demographic dividend,WSM
Early-demographic dividend,SAU
Early-demographic dividend,SLB
Early-demographic dividend,ZAF
Early-demographic dividend,SUR
Early-demographic dividend,SYR
Early-demographic dividend,TJK
Early-demographic dividend,TON
Early-demographic dividend,TUR
Early-demographic dividend,TKM
Early-demographic dividend,UZB
Early-demographic dividend,VUT
Early-demographic dividend,VEN
Early-demographic dividend,PSE
Early-demographic dividend,YEM
Early-demographic dividend,ZWE
East Asia & Pacific,ASM
East Asia & Pacific,AUS
East Asia & Pacific,BRN
East Asia & Pacific,KHM
East Asia & Pacific,CHN
East Asia & Pacific,FJI
East Asia & Pacific,PYF
East Asia & Pacific,GUM
East Asia & Pacific,HKG
East Asia & Pacific,IDN
East Asia & Pacific,JPN
East Asia & Pacific,KIR
East Asia & Pacific,PRK
East Asia & Pacific,KOR
East Asia & Pacific,LAO
East Asia & Pacific,MAC
East Asia & Pacific,MYS
East Asia & Pacific,MHL
East Asia & Pacific,FSM
East Asia & Pacific,MNG
East Asia & Pacific,MMR
East Asia & Pacific,NRU
East Asia & Pacific,NCL
East Asia & Pacific,NZL
East Asia & Pacific,MNP
East Asia & Pacific,PLW
East Asia & Pacific,PNG
East Asia & Pacific,PHL
East Asia & Pacific,WSM
East Asia & Pacific,SGP
East Asia & Pacific,SLB
East Asia & Pacific,TWN
East Asia & Pacific,THA
East Asia & Pacific,TLS
East Asia & Pacific,TON
East Asia & Pacific,TUV
East Asia & Pacific,VUT
East Asia & Pacific,VNM
Europe & Central Asia (excluding high income),ALB
Europe & Central Asia (excluding high income),ARM
Europe & Central Asia (excluding high income),AZE
Europe & Central Asia (excluding high income),BLR
Europe & Central Asia (excluding high income),BIH
Europe & Central Asia (excluding high income),BGR
Europe & Central Asia (excluding high income),GEO
Europe & Central Asia (excluding high income),KAZ
Europe & Central Asia (excluding high income),XKX
Europe & Central Asia (excluding high income),KGZ
Europe & Central Asia (excluding high income),MDA
Europe & Central Asia (excluding high income),MNE
Europe & Central Asia (excluding high income),MKD
Europe & Central Asia (excluding high income),RUS
Europe & Central Asia (excluding high income),SRB
Europe & Central Asia (excluding high income),TJK
Europe & Central Asia (excluding high income),TUR
Europe & Central Asia (excluding high income),TKM
Europe & Central Asia (excluding high income),UKR
Europe & Central Asia (excluding high income),UZB
Europe & Central Asia,ALB
Europe & Central Asia,AND
Europe & Central Asia,ARM
Europe & Central Asia,AUT
Europe & Central Asia,AZE
Europe & Central Asia,BLR
Europe & Central Asia,BEL
Europe & Central Asia,BIH
Europe & Central Asia,BGR
Europe & Central Asia,CHI
Europe & Central Asia,HRV
Europe & Central Asia,CYP
Europe & Central Asia,CZE
Europe & Central Asia,DNK
Europe & Central Asia,EST
Europe & Central Asia,FRO
Europe & Central Asia,FIN
